Camera,Start,End,L,C,R,Comments
ACORN1,4/3/2022 13:35:17,08/26/2022 8:34:00,8,12,7,
ACORN2,5/1/2022 17:49:27,6/10/2022 6:38:12,9,12,6,
ACORN2,7/20/2022 16:09:45,8/29/2022 16:49:21,9,12,6,
ACORN4,5/1/2022 15:22:47,05/02/2022 20:26:44,8,11,8,TImestamp reverted to 1/1/2016 on first deployment
ACORN4,7/18/2022 17:27:28,7/31/2022 15:20:17,8,11,8,
ACORN5,4/30/2022 14:35:02,5/9/2022 16:25:14,8,14,6,Timestamp reverted to 1/1/2016 on 2nd deployment
ACORN6,4/30/2022 15:09:18,8/30/2022 12:51:14,4,12,12,
ACORN8,4/11/2022 9:55:37 AM,4/20/2022 7:24:06,10,14,8,
ACORN8,07/20/2022 16:41:49,07/29/2022 14:54:19,10,14,8,
BUSH1,7/12/2022 16:09:18,8/17/2022 11:36:47,10,10,10,
BUSH2,04/02/2022 16:05:25,08/23/2022 17:46:57,9,15,6,
BUSH4,04/03/2022 12:41:50,8/30/2022 14:39:20,3,7,8,
BUSH5,04/03/2022 13:56:40,8/24/2022 12:59:27,12,12,10,
BUSH6,04/03/2022 12:24:22,8/30/2022 14:17:42,8,11,9,
BUSH7,04/02/2022 16:36:43,04/18/2022 17:10:10,4,12,7,
BUSH7,07/08/2022 16:26:48,8/25/2022 13:58:17,4,12,7,
BUSH8,04/03/2022 12:22:16,05/09/2022 12:36:23,14,12,8,
BUSH8,07/09/2022 11:21:09,08/23/2022 14:39:43,14,12,8,
BUSH9,04/03/2022 9:41:00,08/30/2022 15:24:36,7,11,7,
BUSH10,04/02/2022 17:13:07,05/14/2022 6:29:01,8,9,5,
BUSH10,07/09/2022 9:38:21,08/16/2022 11:49:25,8,9,5,
BUSH11,04/02/2022 15:28:15,08/25/2022 10:32:57,8,11,9,
BUSH12,04/17/2022 16:34:18,08/25/2022 14:19:17,8,9,9,
BUSH13,04/11/2022 10:50:47,05/18/2022 9:49:30,6,7,9,
BUSH13,07/19/2022 9:07:59,08/29/2022 16:59:47,6,7,9,
BUSH14,04/11/2022 9:28:46,08/29/2022 15:50:40,11,8,9,
BUSH15,04/11/2022 10:21:40,08/29/2022 17:50:29,3,5,9,
BUSH16,04/10/2022 16:00:29,08/29/2022 17:36:35,14,10,14,
BUSH17,04/10/2022 16:05:42,08/30/2022 11:38:53,11,9,6,
BUSH18,04/10/2022 16:37:41,08/30/2022 10:10:31,12,15,6,
BUSH19,04/10/2022 16:38:06,08/29/2022 17:16:34,10,12,15,
BUSH20,04/11/2022 9:21:23,07/20/2022 9:22:57,2,4,10,
BUSH20,07/20/2022 9:45:05,08/30/2022 10:40:38,4,5,3,
BUSH21,04/17/2022 15:32:11,08/30/2022 11:54:54,12,12,14,
BUSH22,04/17/2022 15:37:33,06/04/2022 10:05:44,7,10,10,
BUSH22,07/13/2022 8:54:17,08/30/2022 12:03:50,7,10,10,
BUSH23,04/17/2022 16:08:05,06/04/2022 13:41:58,2,11,4,
BUSH23,07/12/2022 15:38:03,08/30/2022 12:22:38,6,12,15,
BUSH24,04/17/2022 16:08:52,08/30/2022 12:13:15,12,15,15,
BUSH25,05/01/2022 17:07:38,07/20/2022 9:52:10,11,9,13,2nch check corrupted
BUSH26,04/30/2022 15:15:14,08/13/2022 9:36:22,10,10,3,
BUSH27,05/02/2022 12:46:33,08/29/2022 16:38:40,11,9,7,
BUSH28,07/09/2022 10:25:40,08/30/2022 13:33:11,6,9,4,1st check corrupted
BUSH29,05/01/2022 17:38:16,08/30/2022 11:19:28,10,12,15,
BUSH30,05/01/2022 15:54:03,08/30/2022 15:55:40,10,12,9,
BUSH31,07/19/2022 16:20:38,08/28/2022 20:10:23,6,8,6,wrong date 1st deployment
