id,left,top,right,bottom,Yes,Grid Cell,Area,LENGTH,COUNT,Camera
61,-11803205.176739243790507,4650254.417590975761414,-11802705.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,815.940098431955789,1.000000000000000,BUSH30
62,-11803205.176739243790507,4649754.417590975761414,-11802705.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,454.826842629612202,1.000000000000000,ACORN4
67,-11802705.176739243790507,4650754.417590975761414,-11802205.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,1204.432130357117103,3.000000000000000,BUSH8
68,-11802705.176739243790507,4650254.417590975761414,-11802205.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,0.000000000000000,0.000000000000000,BUSH9
69,-11802705.176739243790507,4649754.417590975761414,-11802205.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,0.000000000000000,0.000000000000000,BUSH3
73,-11802205.176739243790507,4651254.417590975761414,-11801705.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,1387.704353255000115,3.000000000000000,BUSH1
74,-11802205.176739243790507,4650754.417590975761414,-11801705.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,1467.135600879827962,2.000000000000000,BUSH4
75,-11802205.176739243790507,4650254.417590975761414,-11801705.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,0.000000000000000,0.000000000000000,BUSH6
76,-11802205.176739243790507,4649754.417590975761414,-11801705.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,0.000000000000000,0.000000000000000,BUSH11
80,-11801705.176739243790507,4651254.417590975761414,-11801205.176739245653152,4650754.417590975761414,"1",Grid Cell,152865.267,634.325472417349943,2.000000000000000,BUSH5
81,-11801705.176739243790507,4650754.417590975761414,-11801205.176739245653152,4650254.417590975761414,"1",Grid Cell,152880.066,1525.243953694776337,3.000000000000000,BUSH10
82,-11801705.176739243790507,4650254.417590975761414,-11801205.176739245653152,4649754.417590975761414,"1",Grid Cell,152894.865,374.774458452824149,1.000000000000000,BUSH7
83,-11801705.176739243790507,4649754.417590975761414,-11801205.176739245653152,4649254.417590975761414,"1",Grid Cell,152909.665,0.000000000000000,0.000000000000000,BUSH2
87,-11801205.176739245653152,4651254.417590975761414,-11800705.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,260.403492142870732,1.000000000000000,ACORN1
88,-11801205.176739245653152,4650754.417590975761414,-11800705.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,1257.361030134705516,3.000000000000000,BUSH28
94,-11800705.176739243790507,4651254.417590975761414,-11800205.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,370.438100603622388,1.000000000000000,ACORN5
95,-11800705.176739243790507,4650754.417590975761414,-11800205.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,837.511360507334757,2.000000000000000,BUSH26
96,-11800705.176739243790507,4650254.417590975761414,-11800205.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,40.427083348189399,1.000000000000000,BUSH12
102,-11800205.176739243790507,4650754.417590975761414,-11799705.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,27.760805540640774,1.000000000000000,ACORN6
103,-11800205.176739243790507,4650254.417590975761414,-11799705.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,1049.938775293835079,2.000000000000000,BUSH24
104,-11800205.176739243790507,4649754.417590975761414,-11799705.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,93.844898870470686,1.000000000000000,BUSH23
110,-11799705.176739243790507,4650254.417590975761414,-11799205.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,771.776408639957594,1.000000000000000,BUSH22
111,-11799705.176739243790507,4649754.417590975761414,-11799205.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,678.456342162845431,2.000000000000000,BUSH21
117,-11799205.176739243790507,4650254.417590975761414,-11798705.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,1569.060055870507085,4.000000000000000,BUSH16
118,-11799205.176739243790507,4649754.417590975761414,-11798705.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,1055.119586670235321,2.000000000000000,BUSH17
122,-11798705.176739243790507,4651254.417590975761414,-11798205.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,164.873655490081887,1.000000000000000,ACORN8
123,-11798705.176739243790507,4650754.417590975761414,-11798205.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,517.145206373024621,1.000000000000000,BUSH15
124,-11798705.176739243790507,4650254.417590975761414,-11798205.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,1275.830199926675505,3.000000000000000,BUSH19
125,-11798705.176739243790507,4649754.417590975761414,-11798205.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,251.847735384133642,1.000000000000000,BUSH18
129,-11798205.176739243790507,4651254.417590975761414,-11797705.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,807.626842363534251,2.000000000000000,BUSH14
130,-11798205.176739243790507,4650754.417590975761414,-11797705.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,553.794846517991459,2.000000000000000,BUSH13
131,-11798205.176739243790507,4650254.417590975761414,-11797705.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,908.987024061905117,4.000000000000000,BUSH31
132,-11798205.176739243790507,4649754.417590975761414,-11797705.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,0.000000000000000,0.000000000000000,BUSH20
136,-11797705.176739243790507,4651254.417590975761414,-11797205.176739243790507,4650754.417590975761414,"1",Grid Cell,152865.267,408.260589547533129,1.000000000000000,BUSH27
137,-11797705.176739243790507,4650754.417590975761414,-11797205.176739243790507,4650254.417590975761414,"1",Grid Cell,152880.066,363.388993620169572,1.000000000000000,ACORN2
138,-11797705.176739243790507,4650254.417590975761414,-11797205.176739243790507,4649754.417590975761414,"1",Grid Cell,152894.865,0.000000000000000,0.000000000000000,BUSH29
139,-11797705.176739243790507,4649754.417590975761414,-11797205.176739243790507,4649254.417590975761414,"1",Grid Cell,152909.665,0.000000000000000,0.000000000000000,BUSH25
