id,LENGTH,COUNT,Camera
"22",381.67281480602,1,BUSH30
"23",0,0,ACORN4
"27",700.088247781876,2,BUSH8
"28",0,0,BUSH9
"29",0,0,BUSH3
"32",394.232145381493,2,BUSH1
"33",547.628429081521,2,BUSH4
"34",0,0,BUSH6
"35",0,0,BUSH11
"36",0,0,BUSH5
"37",442.263257976537,1,BUSH10
"38",0,0,BUSH7
"39",0,0,BUSH2
"40",0,0,ACORN1
"41",587.548777809523,3,BUSH28
"42",220.339316620498,1,ACORN5
"43",323.096775298061,1,BUSH26
"44",0,0,BUSH12
"45",0,0,ACORN6
"46",279.971970016319,1,BUSH24
"47",0,0,BUSH23
"48",414.311720074833,1,BUSH22
"49",136.297492445572,1,BUSH21
"50",390.038247801508,3,BUSH16
"51",339.197555198031,1,BUSH17
"53",0,0,ACORN8
"54",272.136049198253,1,BUSH15
"55",772.083508345253,2,BUSH19
"56",0,0,BUSH18
"58",245.281866746432,2,BUSH14
"59",235.44350599032,1,BUSH13
"60",359.885214413953,1,BUSH31
"61",0,0,BUSH20
"63",97.0443609948858,1,BUSH27
"64",0,0,ACORN2
"65",0,0,BUSH29
"66",0,0,BUSH25
