project_id,deployment_id,placename,longitude,latitude,start_date,end_date,bait_type,bait_description,feature_type,feature_type_methodology,camera_id,camera_name,quiet_period,camera_functioning,sensor_height,height_other,sensor_orientation,orientation_other,plot_treatment,plot_treatment_description,detection_distance,subproject_name,subproject_design,event_name,event_description,event_type,recorded_by
2004993,BUSH18,Salida,-106.010282,38.505117,2022-04-10 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2078111,BUSH18,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH7,Salida,-106.010282,38.505117,2022-04-02 00:00:00,2022-08-25 00:00:00,None,,Trail game,,2077796,BUSH7,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH24,Salida,-106.010282,38.505117,2022-04-17 00:00:00,2022-08-30 00:00:00,None,,None,,2078364,BUSH24,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH1,Salida,-106.010282,38.505117,2022-07-12 00:00:00,2022-08-17 00:00:00,None,,Trail hiking,,2077714,BUSH1,1,Memory Card,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH6,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2047673,BUSH6,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH20,Salida,-106.010282,38.505117,2022-04-11 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2078199,BUSH20,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH14,Salida,-106.010282,38.505117,2022-04-11 00:00:00,2022-08-29 00:00:00,None,,Trail game,,2063072,BUSH14,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH26,Salida,-106.010282,38.505117,2022-04-30 00:00:00,2022-08-15 00:00:00,None,,Trail hiking,,2078621,BUSH26,1,Memory Card,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH16,Salida,-106.010282,38.505117,2022-04-10 00:00:00,2022-08-29 00:00:00,None,,Trail hiking,,2067277,BUSH16,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH3,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2046427,BUSH4,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN2,Salida,-106.010282,38.505117,2022-05-01 00:00:00,2022-08-29 00:00:00,None,,Trail game,,2075946,ACORN2,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH15,Salida,-106.010282,38.505117,2022-04-11 00:00:00,2022-08-29 00:00:00,None,,Trail game,,2067166,BUSH15,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH19,Salida,-106.010282,38.505117,2022-04-10 00:00:00,2022-08-29 00:00:00,None,,Trail game,,2078186,BUSH19,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH25,Salida,-106.010282,38.505117,2022-05-01 00:00:00,2022-07-20 00:00:00,None,,Road dirt,,2078620,BUSH25,1,Memory Card,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH31,Salida,-106.010282,38.505117,2022-07-19 00:00:00,2022-08-28 00:00:00,None,,Trail game,,2078851,BUSH31,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH30,Salida,-106.010282,38.505117,2022-05-01 00:00:00,2022-08-30 00:00:00,None,,None,,2078849,BUSH30,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH21,Salida,-106.010282,38.505117,2022-04-17 00:00:00,2022-08-30 00:00:00,None,,None,,2078200,BUSH21,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN1,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-26 00:00:00,None,,Trail game,,2075871,acorn1,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH5,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-24 00:00:00,None,,Trail game,,2047585,BUSH5,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN8,Salida,-106.010282,38.505117,2022-04-11 00:00:00,2022-08-08 00:00:00,None,,Trail game,,2044705,ACORN8,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH13,Salida,-106.010282,38.505117,2022-04-11 00:00:00,2022-08-29 00:00:00,None,,Trail hiking,,2060651,BUSH13,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH8,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-23 00:00:00,None,,Trail hiking,,2048172,BUSH8,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN4,Salida,-106.010282,38.505117,2022-05-01 00:00:00,2022-07-31 00:00:00,None,,Trail game,,2039269,ACORN4,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH11,Salida,-106.010282,38.505117,2022-04-02 00:00:00,2022-08-25 00:00:00,None,,Trail game,,2057434,BUSH11,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH28,Salida,-106.010282,38.505117,2022-07-29 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2078838,BUSH28,1,Camera Hardware Failure,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH10,Salida,-106.010282,38.505117,2022-04-02 00:00:00,2022-08-16 00:00:00,None,,Trail hiking,,2077825,BUSH10,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH9,Salida,-106.010282,38.505117,2022-04-03 00:00:00,2022-08-30 00:00:00,None,,None,,2077820,BUSH9,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN6,Salida,-106.010282,38.505117,2022-04-30 00:00:00,2022-08-30 00:00:00,None,,Trail game,,2041439,ACORN6,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH29,Salida,-106.010282,38.505117,2022-05-01 00:00:00,2022-08-30 00:00:00,None,,Other,,2078839,BUSH29,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH12,Salida,-106.010282,38.505117,2022-04-17 00:00:00,2022-08-25 00:00:00,None,,Trail game,,2077840,BUSH12,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,ACORN5,Salida,-106.010282,38.505117,2022-04-30 00:00:00,2022-05-09 00:00:00,None,,Trail game,,2041414,ACORN5,1,Unknown Failure,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH23,Salida,-106.010282,38.505117,2022-04-17 00:00:00,2022-08-30 00:00:00,None,,None,,2078218,BUSH23,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH27,Salida,-106.010282,38.505117,2022-05-02 00:00:00,2022-08-29 00:00:00,None,,None,,2078835,BUSH27,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH2,Salida,-106.010282,38.505117,2022-04-02 00:00:00,2022-08-23 00:00:00,None,,Road dirt,,2077733,Bush2,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH17,Salida,-106.010282,38.505117,2022-04-10 00:00:00,2022-08-30 00:00:00,None,,Trail hiking,,2077882,BUSH17,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
2004993,BUSH22,Salida,-106.010282,38.505117,2022-04-17 00:00:00,2022-08-30 00:00:00,None,,Trail hiking,,2078201,BUSH22,1,Camera Functioning,Knee height,,Parallel,,,,,,,,,,
